DataName,,,,,,,,,,,,,,
OMS_Scenario_List,1,2,3,4,5,6,7,8,9,10,11,12,13,14
OMS_Scenario06_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario06_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario06_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario06_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario06_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario06_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario06_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario06_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario06_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario07_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario07_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario07_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario07_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario07_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario07_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario07_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario07_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario07_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario07_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario07_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario07_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario07_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario07_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario07_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario07_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario07_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario08_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario08_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario08_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario08_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario08_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario08_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario08_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario08_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario08_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario08_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario08_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario08_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario08_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario08_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario08_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario08_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario08_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario09_Item_UPC,,,,,,,,,,,,,,
OMS_Scenario09_Item_Color,,,,,,,,,,,,,,
OMS_Scenario09_Item_Size,,,,,,,,,,,,,,
OMS_Scenario09_Item_Quantity,,,,,,,,,,,,,,
OMS_Scenario09_Address_Line1,,,,,,,,,,,,,,
OMS_Scenario09_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario09_Address_City,,,,,,,,,,,,,,
OMS_Scenario09_Address_State,,,,,,,,,,,,,,
OMS_Scenario09_Address_ZipCode,,,,,,,,,,,,,,
OMS_Scenario09_Tender_HolderName,,,,,,,,,,,,,,
OMS_Scenario09_Tender_Type,GIFTCARD,,,,,,,,,,,,,
OMS_Scenario09_Tender_CardNumber,6.02299E+15,,,,,,,,,,,,,
OMS_Scenario09_Tender_Month,,,,,,,,,,,,,,
OMS_Scenario09_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario09_Tender_Year,,,,,,,,,,,,,,
OMS_Scenario09_Tender_SecurityCode,,,,,,,,,,,,,,
OMS_Scenario09_Tender_Pin,4630,,,,,,,,,,,,,
OMS_Scenario10_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario10_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario10_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario10_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario10_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario10_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario10_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario10_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario10_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario10_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario10_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario10_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario10_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario10_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario10_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario10_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario10_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario11_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario11_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario11_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario11_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario11_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario11_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario11_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario11_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario11_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario11_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario11_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario11_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario11_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario11_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario11_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario11_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario11_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario12_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario12_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario12_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario12_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario12_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario12_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario12_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario12_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario12_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario12_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario12_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario12_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario12_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario12_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario12_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario12_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario12_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario13_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario13_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario13_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario13_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario13_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario13_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario13_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario13_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario13_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario13_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario13_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario13_Tender_CardNumber,5444009999222200,,,,,,,,,,,,,
OMS_Scenario13_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario13_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario13_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario13_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario13_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario14_Item_UPC,499932227409,,,,,,,,,,,,,
OMS_Scenario14_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario14_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario14_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario14_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario14_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario14_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario14_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario14_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario14_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario14_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario14_Tender_CardNumber,5444009999222200,,,,,,,,,,,,,
OMS_Scenario14_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario14_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario14_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario14_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario14_Tender_Pin,,,,,,,,,,,,,,
soldout,0471268507103,,,,,,,,,,,,,
dropdownEnabled,0400087235226,,,,,,,,,,,,,
multipleColorAndSize,0426435877206,,,,,,,,,,,,,
singlePrice,0400087620032,,,,,,,,,,,,,
multPrice,0478901622971,,,,,,,,,,,,,
waitlistable,0465071024551,,,,,,,,,,,,,
indiaException,0400089951652,,,,,,,,,,,,,
sizeGuide,0478901622971,,,,,,,,,,,,,
struckOutWithPriceRange,0478901622971,,,,,,,,,,,,,
fisEnabled,0400086736785,,,,,,,,,,,,,
chanel,0429192588441,,,,,,,,,,,,,
noDLP,0400091990074,,,,,,,,,,,,,
noReviews,0400088815891,,,,,,,,,,,,,
noQuestions,0400088815891,,,,,,,,,,,,,
cartierWatches,0400087318373,,,,,,,,,,,,,
nonWaitlistableSoldout,0465071024551,,,,,,,,,,,,,
standardGiftCard,0499932227409,,,,,,,,,,,,,
sdd,0400089649570,,,,,,,,,,,,,
finalSale,0449603859217,,,,,,,,,,,,,
